灵动长春-场景侧-堡垒机单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.5,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.4,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.3,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.2,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.7,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.8,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.14,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.15,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.16,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.17,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.18,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.19,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.20,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.21,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.22,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.23,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,
