唯一编号,数据块,服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日应计费天数,合计费用
CL00001,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.5,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,,3.9
CL00002,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.4,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,,3.9
CL00003,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.3,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,,3.9
CL00004,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.2,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,,3.9
CL00005,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.7,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00006,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.8,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00007,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.14,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00008,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.15,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00009,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.16,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00010,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.17,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00011,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.18,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00012,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.19,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00013,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.20,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00014,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.21,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00015,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.22,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00016,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.23,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00017,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.24,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00018,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.25,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00019,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.26,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00020,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.27,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00021,灵动长春-场景侧-堡垒机单项服务统计,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,10.10.0.28,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,,0
CL00022,灵动长春-场景侧-数据库单项服务统计,12,数据库服务,腾迅数据库TDSQL-C,7,套/日,480.2,,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,100842,,100842
CL00023,灵动长春-场景侧-数据库单项服务统计,12,数据库服务,腾迅数据库TDSQL-C,8,套/日,480.2,,2026-03-10 00:00:00,,2026-06-08 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,115248,,0
CL00024,灵动长春-场景侧-数据库单项服务统计,5,数据库服务,人大金仓数据库-企业版,6,套/日,166.3,,2026-03-10 00:00:00,,2026-06-08 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,29934,,0
CL00025,灵动长春-场景侧-VPN服务单项服务统计,50,安全服务,VPN-10用户,1,套/日,22.77,,2025-09-16 00:00:00,2026-04-14 00:00:00,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-13 00:00:00,13,296.01,,296.01
CL00026,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.3,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00027,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.2,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00028,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.5,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00029,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.4,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00030,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.7,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00031,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.8,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00032,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.14,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00033,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.15,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00034,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.16,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00035,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.17,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00036,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.18,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00037,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.19,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00038,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.20,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00039,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.21,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00040,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.22,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00041,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.25,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00042,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.24,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
CL00043,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.23,2025-09-16 00:00:00,,2025-12-15 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,173.4,,173.4
