ICC-营销侧-堡垒机单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
36,网络安全服务,云堡垒机（20资产）,1,套/日,25.62,192.168.187.32,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,768.6,2,51.24,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.28,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.30,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.29,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.26,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.27,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.25,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.24,2026-01-29 00:00:00,2026-04-22 00:00:00,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.23,2026-01-29 00:00:00,2026-04-22 00:00:00,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.22,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.21,2026-01-29 00:00:00,2026-04-22 00:00:00,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.20,2026-01-29 00:00:00,2026-04-22 00:00:00,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.19,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.18,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.17,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.16,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.15,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.14,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.13,2026-01-29 00:00:00,,,,,,,,,
,网络安全服务,云堡垒机（20资产）,,,,192.168.187.12,2026-01-29 00:00:00,,,,,,,,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.11,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.10,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.8,2026-01-29 00:00:00,2026-04-22 00:00:00,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,22,42.9,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.9,2026-01-29 00:00:00,2026-04-22 00:00:00,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,22,42.9,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.7,2026-01-29 00:00:00,2026-04-22 00:00:00,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,22,42.9,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.6,2026-01-29 00:00:00,2026-04-22 00:00:00,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,22,42.9,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.4,2026-01-29 00:00:00,2026-04-22 00:00:00,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,22,42.9,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.5,2026-01-29 00:00:00,2026-04-22 00:00:00,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,22,42.9,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.3,2026-01-29 00:00:00,2026-04-22 00:00:00,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,22,42.9,0,0,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.187.2,2026-01-29 00:00:00,2026-04-22 00:00:00,2026-04-29 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,22,42.9,0,0,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
46142,开通用户数,4,,,,,,,,,,,,,,
,关闭用户数,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
灵动长春-营销侧-数据库单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
13,数据库服务,OceanBase,7,套/日,85.67,,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,17990.7,30,17990.7,
灵动长春-营销侧-VPN服务单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
50,安全服务,VPN-10用户,1,套/日,22.77,,2025-09-15 00:00:00,2026-04-14 00:00:00,2026-04-01 00:00:00,2026-04-01 00:00:00,2026-04-13 00:00:00,13,296.01,13,296.01,本期已关闭，下期不再有此项费用
,,,,,,,,,,,,,,,,
灵动长春-营销侧-操作系统单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.3,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,本期已关闭，下期不再有此项费用
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.2,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.4,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.5,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.7,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.6,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.8,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.9,2025-09-15 00:00:00,2026-04-22 00:00:00,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-22 00:00:00,21,116.13,21,116.13,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.11,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.187.10,2025-09-15 00:00:00,,2025-12-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9,
