华为云火山-VPN服务单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用
50,安全服务,VPN-10用户,1,套/日,22.77,,2025-11-05 00:00:00,2026-04-14 00:00:00,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-13 00:00:00,13,296.01,13,296.01
合计数量,,,1,合计金额,,,,,,,,,296.01,,296.01
,,,,,,,,,,,,,,,
华为云火山-操作系统单项服务统计,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,内部IP,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.77,2025-11-05 00:00:00,2026-04-01 00:00:00,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-01 00:00:00,21,116.13,0,0
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.230,2025-11-05 00:00:00,2026-04-01 00:00:00,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-01 00:00:00,21,116.13,0,0
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.184,2025-11-05 00:00:00,2026-04-01 00:00:00,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-01 00:00:00,21,116.13,0,0
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.20,2025-11-05 00:00:00,2026-04-01 00:00:00,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-01 00:00:00,21,116.13,0,0
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.83,2025-10-27 00:00:00,2026-04-01 00:00:00,2026-01-25 00:00:00,2026-04-01 00:00:00,2026-04-01 00:00:00,21,116.13,0,0
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.46,2025-11-05 00:00:00,,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.147,2025-11-05 00:00:00,,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.62,2025-11-05 00:00:00,,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.92,2025-10-27 00:00:00,,2026-01-25 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.88,2025-10-27 00:00:00,,2026-01-25 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.238,2025-10-27 00:00:00,,2026-01-25 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.42,2025-11-05 00:00:00,,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.101,2025-11-05 00:00:00,,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.9,2025-10-27 00:00:00,,2026-01-25 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
合计数量,,,14,合计金额,,,,,,,,,2073.75,,1493.1
,,,,,,,,,,,,,,,
集团业务堡垒机单项服务统计,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,内网IP,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.216.9,2026-04-01 00:00:00,,2026-06-30 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.216.147,2026-04-01 00:00:00,,2026-06-30 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.216.46,2026-04-01 00:00:00,,2026-06-30 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.216.62,2026-04-01 00:00:00,,2026-06-30 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.216.92,2026-04-01 00:00:00,,2026-06-30 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.216.42,2026-04-01 00:00:00,,2026-06-30 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.216.101,2026-04-01 00:00:00,,2026-06-30 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.216.238,2026-04-01 00:00:00,,2026-06-30 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.216.88,2026-04-01 00:00:00,,2026-06-30 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
合计数量,,,9,合计金额,,,,,,,,,526.5,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
华为云火山-数据库单项服务统计,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用
5,数据库服务,人大金仓数据库,2,套/日,166.3,,2025-11-05 00:00:00,,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,9978,30,9978
14,数据库服务,国产向量数据库-海贝TRSv10,3,套/日,710.43,,2025-11-05 00:00:00,,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,63938.7,30,63938.7
15,数据库服务,国产向量数据库-海贝RSv10维保费,3,套/日,71.04,,2025-11-05 00:00:00,,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,6393.6,30,6393.6
13,数据库服务,国产关系型数据库-OceanBase,1,套/日,85.67,,2025-11-05 00:00:00,,2026-02-03 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,2570.1,30,2570.1
合计数量,,,9,合计金额,,,,,,,,,82880.4,,82880.4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,合计费用,,,,,,,,,,
50,安全服务,VPN-10用户,1,套/日,296.01,,,,,,,,,,
26,操作系统服务,银河麒麟高级服务器操作系统,14,套/日,1493.1,,,,,,,,,,
35,网络安全服务,云堡垒机（1资产）,9,套/日,0,,,,,,,,,,
5,数据库服务,人大金仓数据库,2,套/日,9978,,,,,,,,,,
14,数据库服务,国产向量数据库-海贝TRSv10,3,套/日,63938.7,,,,,,,,,,
15,数据库服务,国产向量数据库-海贝RSv10维保费,3,套/日,6393.6,,,,,,,,,,
13,数据库服务,国产关系型数据库-OceanBase,1,套/日,2570.1,,,,,,,,,,
总计金额,,,,,84669.51,,,,,,,,,,
