华为车路云-VPN服务单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日应计费天数,合计费用
50,安全服务,VPN-10用户,1,套/日,22.77,,2026-02-06 00:00:00,2026-04-14 00:00:00,2026-05-07 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,13,296.01,0,0
合计数量,,,1,合计金额,,,,,,,,,296.01,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
华为车路云-操作系统单项服务统计,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,内部IP,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日应计费天数,合计费用
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.186,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,0,2,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.92,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,0,2,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.185,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,0,2,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.90,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,0,2,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.62,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,0,2,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.44,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,0,2,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.124,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.24,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.189,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.82,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.210,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.221,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.230,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.251,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0
30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.19,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0
合计数量,,,15,合计金额,,,,,,,,,0,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
集团业务堡垒机单项服务统计,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,内网IP,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.186,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.92,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.185,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.90,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.62,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.44,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.124,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.24,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.189,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.82,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,192.168.247.210,2026-04-15 00:00:00,,2026-07-14 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0
