云服务采购项目-03包云环境国产化软件及安全服务采购结算价格,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
序号,服务分类,服务内容,服务详情,服务内容描述,数量,单位,清单目录单价 (元),折扣系数,实际单价（元）
1,数据库服务,国产关系型数据库务,达梦数据库,达梦数据库-标准版,1,套/日,289.97,0.98,284.17
2,数据库服务,国产关系型数据库务,达梦数据库,达梦数据库-企业版,1,套/日,424.22,0.98,415.74
3,数据库服务,国产关系型数据库务,达梦数据库,达梦数据库集群版,1,套/日,263.12,0.98,257.86
4,数据库服务,国产关系型数据库务,人大金仓数据库,人大金仓数据库-标准版,1,套/日,96.66,0.98,94.73
5,数据库服务,国产关系型数据库务,人大金仓数据库,人大金仓数据库-企业版,1,套/日,169.69,0.98,166.3
6,数据库服务,国产关系型数据库务,人大金仓数据库,人大金仓数据库集群版,1,套/日,96.66,0.98,94.73
7,数据库服务,国产关系型数据库务,神通数据库管理软件,神通数据库管理软件订阅版,1,套/日,187.94,0.98,184.18
8,数据库服务,国产关系型数据库务,华为Gauss数据库,华为Gauss数据库,1,套/日,283.53,0.98,277.86
9,数据库服务,国产关系型数据库务,华为Taurus数据库,华为Taurus数据库,1,套/日,43.87,0.98,42.99
10,数据库服务,国产关系型数据库务,海量数据库管理软件,海量数据库管理软件,1,套/日,284.6,0.98,278.91
11,数据库服务,国产关系型数据库务,万里数据库,万里数据库,1,套/日,490,0.98,480.2
12,数据库服务,国产关系型数据库务,腾迅数据库TDSQL-C,腾迅数据库TDSQL-C,1,套/日,490,0.98,480.2
13,数据库服务,国产关系型数据库务,OceanBase,OceanBase,1,套/日,87.42,0.98,85.67
14,数据库服务,国产向量数据库,海贝TRSv10,海贝TRSv10,1,节点,264600,0.98,259308
15,数据库服务,国产向量数据库,海贝TRSv10,海贝TRSv10维保费,1,节点/每年,26460,0.98,25930.8
16,数据库服务,向量数据库,南大通用向量数据库系统GBase 8a,"1.南大通用集中式安全数据库管理系统;
2.南大通用分布式数据库集群系统;
3.南大通用向量数据库系统（定制化）;
报价为三种任选其一",1,套/日,441,0.98,432.18
17,数据库服务,国产图数据库,GDMBASE蜀天梦图数据库,GDMBASE蜀天梦图数据库标准版（单节点部署）,1,套,294000,0.98,288120
