Unnamed: 0,项目基础信息表,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,名称,内容,,,,,,,,,,,
,服务单位,杭州安恒信息技术股份有限公司,,,,,,,,,,,
,项目经理,刘竞雄,,,,,,,,,,,
,联系电话,18604460229,,,,,,,,,,,
,邮件地址,jiexi.liu@dbappsecurity.com.cn,,,,,,,,,,,
,紫光云堡垒机地址：,"web：116.142.237.183:61443 
VPN：116.142.237.183:64443",,,,,,,,,,,
,华为云堡垒机地址：,web:116.141.0.184:61443                                                                                                                                                                          VPN:116.141.0.184:62443,,,,,,,,,,,
,,,,,,,,,,,,,
,服务开展情况总览统计表,,,,,,,,本月核算情况总览统计表,,,,
,服务目录编号,服务类型,服务名称,使用数量,截至2026年4月30日使用天数,,,,服务目录编号,服务类型,服务名称,使用数量,截至2026年4月30日使用天数
,26,操作系统服务,银河麒麟高级服务器操作系统,332,28606.69,,,,26,操作系统服务,银河麒麟高级服务器操作系统,332,53320.2599999999
,21,中间件服务,东方通中间件-订阅,53,112953.6,,,,21,中间件服务,东方通中间件-订阅,53,112953.6
,11,数据库服务,万里数据库,8,115248,,,,11,数据库服务,万里数据库,8,115248
,13,数据库服务,OceanBase,8,20560.8,,,,13,数据库服务,OceanBase,8,20560.8
,12,数据库服务,腾迅数据库TDSQL-C,15,100842,,,,12,数据库服务,腾迅数据库TDSQL-C,15,216090
,5,数据库服务,人大金仓数据库,12,19956,,,,5,数据库服务,人大金仓数据库,12,59868
,50,安全服务,VPN-10用户,13,3256.11,,,,50,安全服务,VPN-10用户,13,4235.22
,30,操作系统服务,OpenEuler,15,0,,,,30,操作系统服务,OpenEuler,15,0
,29,操作系统服务,EulerOS,28,4855.2,,,,29,操作系统服务,EulerOS,28,4855.2
,26,操作系统服务,TencentOS,9,0,,,,26,操作系统服务,TencentOS,9,0
,2,数据库服务,达梦数据库-企业版,15,0,,,,2,数据库服务,达梦数据库-企业版,15,187083
,5,数据库服务,达梦数据库,1,0,,,,5,数据库服务,达梦数据库,1,8525.1
,14,数据库服务,国产向量数据库-海贝TRSv10,3,63938.7,,,,14,数据库服务,国产向量数据库-海贝TRSv10,3,63938.7
,15,数据库服务,国产向量数据库-海贝RSv10维保费,3,6393.6,,,,15,数据库服务,国产向量数据库-海贝RSv10维保费,3,6393.6
,费用总合计,,,,,,,,费用总合计,,,,
,476610.7,,,元,,,,,853071.48,,,元,
,,,,,,,,,,,,,
租户开通堡垒机统计表,,,,,,,,,,,,,
序号,开通时间,租户名称,服务目录编号,服务类型,服务名称,套餐数量,单位,资产总数,用户数量,四月应付费用,,,
1,2026-01-23 00:00:00,可信数据空间,36,网络安全服务,云堡垒机（20资产）,2,套/日,49,60,0,,,
2,2026-01-23 00:00:00,,35,网络安全服务,云堡垒机（1资产）,9,套/日,,,,,,
3,2026-02-03 00:00:00,可信数据空间,35,网络安全服务,云堡垒机（1资产）,6,套/日,26,1,,,,
,,,36,网络安全服务,云堡垒机（20资产）,1,套/日,,,,,,
,,,35,网络安全服务,云堡垒机（1资产）,5,套/日,25,0,,,,
,,,36,网络安全服务,云堡垒机（20资产）,1,套/日,,,,,,
4,2026-02-06 00:00:00,可信数据空间,36,网络安全服务,云堡垒机（20资产）,1,套/日,26,0,,,,
,,,35,网络安全服务,云堡垒机（1资产）,6,套/日,,,,,,
5,2026-01-29 00:00:00,灵动长春-平台侧,36,网络安全服务,云堡垒机（20资产）,2,套/日,49,3,,,,
6,2026-01-29 00:00:00,,35,网络安全服务,云堡垒机（1资产）,9,套/日,,,,,,
7,2026-01-29 00:00:00,灵动长春-爬虫,35,网络安全服务,云堡垒机（1资产）,1,套/日,1,2,,,,
8,2026-01-29 00:00:00,灵动长春-场景侧,35,网络安全服务,云堡垒机（1资产）,4,套/日,4,3,,,,
9,2026-02-05 00:00:00,灵动长春-场景侧,35,网络安全服务,云堡垒机（1资产）,17,套/日,17,0,,,,
10,2026-01-29 00:00:00,灵动长春-营销侧,36,网络安全服务,云堡垒机（20资产）,1,套/日,18,4,,,,
11,2026-01-29 00:00:00,,35,网络安全服务,云堡垒机（1资产）,10,套/日,,,,,,
12,2026-01-30 00:00:00,集团OA,35,网络安全服务,云堡垒机（1资产）,2,套/日,2,3,,,,
13,2026-01-30 00:00:00,集团邮箱,35,网络安全服务,云堡垒机（1资产）,1,套/日,1,1,,,,
14,2026-02-04 00:00:00,湖仓一体化,35,网络安全服务,云堡垒机（1资产）,9,套/日,9,3,,,,
,2026-03-06 00:00:00,车路云一体化,35,网络安全服务,云堡垒机（1资产）,6,套/日,6,1,,,,
,2026-03-18 00:00:00,可信数据空间,35,网络安全服务,云堡垒机（1资产）,6,套/日,6,6,,,,
,2026-03-30 00:00:00,可信数据空间,35,网络安全服务,云堡垒机（1资产）,11,套/日,31,,,,,
,,,36,网络安全服务,云堡垒机（20资产）,1,套/日,,,,,,
,2026-04-01 00:00:00,可信数据空间,35,网络安全服务,云堡垒机（1资产）,12,套/日,12,,,,,
,2026-04-08 00:00:00,可信数据空间,35,网络安全服务,云堡垒机（1资产）,6,套/日,6,,,,,
,2026-04-14 00:00:00,可信数据空间,35,网络安全服务,云堡垒机（1资产）,2,套/日,2,,,,,
合计,,,,,,,,,,0,,,
