唯一编号,服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,使用天数,本月核算金额,应计费天数,合计费用
DB0001,36,网络安全服务,云堡垒机（20资产）,1,套/日,25.62,172.16.10.187,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥768.60,2,￥51.24
DB0002,36,网络安全服务,云堡垒机（20资产）,1,套/日,25.62,172.16.10.14,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥768.60,2,￥51.24
DB0003,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.35,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0004,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.34,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0005,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.36,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0006,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.38,2026/01/29,2026/04/07,2026/04/29,2026/04/01,2026/04/06,6,,￥11.70,0,￥0.00
DB0007,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.37,2026/01/29,2026/04/07,2026/04/29,2026/04/01,2026/04/06,6,,￥11.70,0,￥0.00
DB0008,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.39,2026/01/29,2026/04/07,2026/04/29,2026/04/01,2026/04/06,6,,￥11.70,0,￥0.00
DB0009,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.40,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0010,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.41,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0011,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.164,2026/04/30,,2026/07/29,2026/04/30,2026/04/30,1,,￥1.95,0,￥0.00
DB0012,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,172.16.10.165,2026/04/30,,2026/07/29,2026/04/30,2026/04/30,1,,￥1.95,0,￥0.00
DB0013,11,数据库服务,万里数据库,8,套/日,480.2,,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,"￥115,248.00",30,"￥115,248.00"
DB0014,21,中间件服务,东方通中间件-订阅,53,套/日,71.04,,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,"￥112,953.60",30,"￥112,953.60"
DB0015,50,安全服务,VPN-10用户,1,套/日,22.77,,2025/09/15,2026/04/14,2025/12/14,2026/04/01,2026/04/13,13,,￥296.01,13,￥296.01
DB0016,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.4,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0017,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.41,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0018,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.40,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0019,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.39,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0020,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.38,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0021,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.37,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0022,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.36,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0023,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.34,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0024,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.33,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0025,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.35,2025/09/15,,2025/12/14,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
