湖仓一体化-堡垒机单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日应计费天数,合计费用,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.11,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.12,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.13,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.14,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.15,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.16,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.8,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.9,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,173.100.112.10,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,58.5,0,0,,
合计数量,,,9,合计金额,,,,,,,,,526.5,,0,,
,,,,,,,,,,,,,,,,,
46113,开通用户数,3,,,,,,,,,,,,,,,
,关闭用户数,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
湖仓一体化-操作系统单项服务统计,,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,内部IP,开通时间,关停时间,计费开始时间, 本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日应计费天数,合计费用,备注,
26,操作系统服务,TencentOS,1,套/日,,173.100.112.11,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0,116.142.237.235,绿洲平台
26,操作系统服务,TencentOS,1,套/日,,173.100.112.12,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0,,
26,操作系统服务,TencentOS,1,套/日,,173.100.112.13,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0,,
26,操作系统服务,TencentOS,1,套/日,,173.100.112.14,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0,116.142.237.234,大数据
26,操作系统服务,TencentOS,1,套/日,,173.100.112.15,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0,,
26,操作系统服务,TencentOS,1,套/日,,173.100.112.16,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0,,
26,操作系统服务,TencentOS,1,套/日,,173.100.112.8,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0,116.142.237.251,MPP
26,操作系统服务,TencentOS,1,套/日,,173.100.112.9,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0,,
26,操作系统服务,TencentOS,1,套/日,,173.100.112.10,2026-02-05 00:00:00,,2026-05-06 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,0,0,0,,
合计数量,,,9,合计金额,,,,,,,,,0,,0,,
,,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,合计费用,,,,,,,,,,,,
26,操作系统服务,TencentOS,9,套/日,0,,,,,,,,,,,,
35,网络安全服务,云堡垒机（1资产）,9,套/日,0,,,,,,,,,,,,
总计金额,,,,,0,,,,,,,,,,,,
