灵动长春-爬虫-堡垒机单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
服务目录编号,服务类型,服务名称,数量,单位,单价,IP,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,"截至2026年4月30日
应计费天数",合计费用
35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,81.2.60.2,,2026-01-29 00:00:00,,2026-04-29 00:00:00,2026-04-29 00:00:00,2026-04-30 00:00:00,30,58.5,2,3.9
合计数量,,,1,合计金额,,,,,,,,,,58.5,,3.9
,,,,,,,,,,,,,,,,
46113,开通用户数,2,,,,,,,,,,,,,,
,关闭用户数,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
灵动长春-爬虫-VPN服务单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,备注,备注,开通时间,关停时间,计费开始时间,本期计费开始日期,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日使用天数,本期合计费用
50,安全服务,VPN-10用户,1,套/日,22.77,,,2025-12-25 00:00:00,2026-04-14 00:00:00,2026-03-25 00:00:00,2026-04-01 00:00:00,2026-04-13 00:00:00,13,296.01,13,296.01
合计数量,,,1,合计金额,,,,,,,,,,296.01,,296.01
,,,,,,,,,,,,,,,,
灵动长春-爬虫-操作系统单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,内部IP,备注,开通时间,关停时间,计费开始时间,本期计费开始日期,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日使用天数,本期合计费用
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,81.2.60.2,,2025-12-25 00:00:00,,2026-03-25 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,29,160.37
合计数量,,,1,合计金额,,,,,,,,,,165.9,,160.37
,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,合计费用,,,,,,,,,,,
50,安全服务,VPN-10用户,1,套/日,296.01,,,,,,,,,,,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,160.37,,,,,,,,,,,
35,网络安全服务,云堡垒机（1资产）,1,套/日,3.9,,,,,,,,,,,
总计金额,,,,,460.28,,,,,,,,,,,
