非急救转运-数据库单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
服务目录编号,服务类型,服务名称,数量,单位,单价,IP,备注,开通时间,关停时间,计费开始时间,本期计费开始日期,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日使用天数,本期合计费用
5,数据库服务,人大金仓数据库,2,套/日,166.3,,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,9978,30,9978
合计数量,,,2,合计金额,,,,,,,,,,9978,,9978
,,,,,,,,,,,,,,,,
非急救转运-VPN服务单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,IP,备注,开通时间,关停时间,计费开始时间,本期计费开始日期,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日使用天数,本期合计费用
50,安全服务,VPN-10用户,1,套/日,22.77,,,2025-08-25 00:00:00,2026-04-14 00:00:00,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-13 00:00:00,13,296.01,13,296.01
合计数量,,,1,合计金额,,,,,,,,,,296.01,,296.01
,,,,,,,,,,,,,,,,
非急救转运-操作系统单项服务统计,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,单价,内部IP,备注,开通时间,关停时间,计费开始时间,本期计费开始日期,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日使用天数,本期合计费用
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.16,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.15,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.14,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.13,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.12,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.11,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.10,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.9,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.8,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.7,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.6,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.5,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.4,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.3,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.2,,2025-08-25 00:00:00,,2025-11-23 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,30,165.9
合计数量,,,1,合计金额,,,,,,,,,,2488.5,,2488.5
,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,合计费用,,,,,,,,,,,
50,安全服务,VPN-10用户,1,套/日,296.01,,,,,,,,,,,
26,操作系统服务,银河麒麟高级服务器操作系统,15,套/日,2488.5,,,,,,,,,,,
5,数据库服务,人大金仓数据库,2,套/日,9978,,,,,,,,,,,
总计金额,,,,,12762.51,,,,,,,,,,,
